t,H-Concentration,OH-Concentration,O2-Concentration,HO2-Concentration,C-Concentration,CH-Concentration,CH3-Concentration,C3H7-Concentration,H-Reaction_rate,OH-Reaction_rate,O2-Reaction_rate,HO2-Reaction_rate,C-Reaction_rate,CH-Reaction_rate,CH3-Reaction_rate,C3H7-Reaction_rate,T
1.2079999999999682e-13,1.4488441943368457,0.4607187828789048,0.01592766633147942,2.253712942229067,1.4221489855138882,0.6546439045929904,0.041895379317362307,1.2937705768585868,-2127090630445.8137,-2056763218349.192,-712392624625.151,1740774233799.747,-3702914265965.57,4273550605662.266,-748479297062.075,59280985788.45963,1000.0
1.2089999999999681e-13,1.448631416579503,0.46051319839763244,0.01585656294115982,2.2538868378600228,1.421778648083418,0.6550712580600354,0.041820605156295224,1.2937764962334175,-2128458696321.2405,-2054928067387.8418,-709675377564.7336,1737139411258.6545,-3703833471944.369,4273518403671.0713,-747009315787.5066,59108128020.26802,1000.0
1.209999999999968e-13,1.4484185023089866,0.4603077973104024,0.01578573087372033,2.2540603704710773,1.4214082191514006,0.6554986079719229,0.04174597783804663,1.2937823983462104,-2129820756879.09,-2053095371472.6602,-706966125784.6785,1733513811521.0085,-3704744320554.1494,4273479535730.041,-745542575233.3291,58935786685.812584,1000.0
1.210999999999968e-13,1.4482054521254726,0.4601025793718067,0.015715169330333748,2.254233540983762,1.4210376995526912,0.655925953662806,0.041671497038468265,1.2937882832486787,-2131176828924.656,-2051265126225.4155,-704264856588.628,1729897419701.336,-3705646829359.995,4273434016175.4307,-744079067236.0181,58763960140.194305,1000.0
1.211999999999968e-13,1.4479922666274987,0.45989754433686486,0.01564487751345614,2.2544063503181104,1.4206670901203813,0.6563532944682824,0.04159716243418727,1.2937941509923834,-2132526929221.345,-2049437327277.541,-701571557258.417,1726290220897.1875,-3706541015935.0576,4273381859357.3574,-742618783655.439,58592646744.37968,1000.0
1.212999999999968e-13,1.4477789464119717,0.4596926919610222,0.015574854626829629,2.2545787993926583,1.4202963916857971,0.6567806297253962,0.041522973702602675,1.2938000016287352,-2133871074490.8306,-2047611970270.1052,-698886215054.2317,1722692200189.2842,-3707426897860.4365,4273323079639.657,-741161716374.736,58421844865.17179,1000.0
1.2139999999999679e-13,1.447565492074172,0.459488022000149,0.015505099875485252,2.254750889124439,1.4199256050784979,0.6572079587726406,0.041448930521882005,1.2938058352089936,-2135209281413.1826,-2045789050853.784,-696208817214.7755,1719103342641.6675,-3708304492725.0205,4273257691399.699,-739707857300.2249,58251552875.182144,1000.0
1.2149999999999678e-13,1.4473519042077592,0.459283534210539,0.015435612465745752,2.254922620428984,1.419554731126275,0.6576352809499596,0.04137503257095779,1.2938116517842695,-2136541566627.0054,-2043968564688.8337,-693539350957.4314,1715523633301.8481,-3709173818125.3496,4273185709028.2266,-738257198361.2836,58081769152.802086,1000.0
1.2159999999999678e-13,1.4471381834047772,0.4590792283489083,0.015366391605228428,2.2550939942203163,1.4191837706551511,0.6580625955987496,0.04130127952952414,1.2938174514055254,-2137867946729.577,-2042150507445.0605,-690877803478.4277,1711953057200.958,-3710034891665.4688,4273107146929.1885,-736809731510.2439,57912492082.17463,1000.0
1.2169999999999677e-13,1.4469243302556603,0.45887510417239386,0.015297436502847941,2.255265011410954,1.418812724489378,0.6584899020618619,0.04122767107803329,1.293823234123576,-2139188438276.9822,-2040334874801.7937,-688224161953.0066,1708391599353.9033,-3710887730956.7734,4273022019519.5576,-735365448722.2832,57743720053.16632,1000.0
